country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,15/02/2020,-11,-6,-36,-12,-4,3
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,16/02/2020,-6,-7,-29,-6,-1,2
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,17/02/2020,8,1,12,0,-8,2
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,18/02/2020,6,-2,12,0,-7,1
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,19/02/2020,2,-3,-5,-2,-9,2
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,20/02/2020,8,-1,12,-1,-12,2
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,21/02/2020,1,-3,-1,-1,-13,3
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,22/02/2020,-2,0,-4,-1,-1,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,23/02/2020,-3,-2,1,1,0,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,24/02/2020,1,3,3,1,1,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,25/02/2020,-2,3,6,0,3,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,26/02/2020,-1,0,9,1,2,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,27/02/2020,4,3,15,4,2,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,28/02/2020,3,5,0,4,1,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,29/02/2020,-12,-3,-28,-9,-3,3
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,01/03/2020,3,3,-5,2,2,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,02/03/2020,4,4,12,1,1,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,03/03/2020,8,5,29,2,3,-1
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,04/03/2020,5,4,25,1,1,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,05/03/2020,4,4,15,0,2,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,06/03/2020,3,7,10,0,1,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,07/03/2020,-3,3,-1,-4,0,1
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,08/03/2020,0,2,0,-4,0,0
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,09/03/2020,-3,3,-13,-6,0,2
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,10/03/2020,3,11,15,-3,1,1
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,11/03/2020,-3,11,-3,-9,-1,2
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,12/03/2020,-3,33,-13,-14,-3,3
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,13/03/2020,-19,10,1,-30,-26,12
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,14/03/2020,-32,2,-15,-34,-12,9
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,15/03/2020,-36,7,20,-35,-16,9
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,16/03/2020,-26,15,21,-45,-49,18
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,17/03/2020,-59,-24,67,-62,-80,29
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,18/03/2020,-46,-9,14,-52,-46,20
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,19/03/2020,-48,-10,29,-54,-48,22
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,20/03/2020,-53,-9,16,-57,-48,23
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,21/03/2020,-59,-3,-12,-59,-39,17
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,22/03/2020,-59,-11,39,-53,-39,13
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,23/03/2020,-49,-18,7,-61,-51,21
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,24/03/2020,-51,-9,10,-62,-53,22
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,25/03/2020,-60,-18,13,-63,-55,24
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,26/03/2020,-60,-16,15,-65,-56,25
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,27/03/2020,-63,-13,0,-66,-56,26
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,28/03/2020,-80,-22,-59,-75,-53,21
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,29/03/2020,-83,-37,-59,-78,-52,19
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,30/03/2020,-73,-29,-37,-76,-68,29
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,31/03/2020,-73,-25,-22,-74,-70,30
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,01/04/2020,-75,-26,-31,-75,-70,31
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,02/04/2020,-74,-23,-38,-76,-70,33
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,03/04/2020,-74,-22,-35,-76,-69,34
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,04/04/2020,-78,-23,-46,-74,-56,22
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,05/04/2020,-81,-33,-59,-79,-52,20
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,06/04/2020,-68,-24,-9,-74,-69,29
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,07/04/2020,-66,-15,6,-71,-69,28
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,08/04/2020,-69,-17,-10,-72,-69,29
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,09/04/2020,-68,-12,-24,-73,-69,31
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,10/04/2020,-73,-18,-26,-76,-74,34
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,11/04/2020,-76,-12,-31,-70,-54,21
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,12/04/2020,-90,-58,-69,-82,-56,21
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,13/04/2020,-77,-38,-15,-80,-86,34
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,14/04/2020,-68,-20,-1,-71,-68,28
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,15/04/2020,-69,-22,-5,-71,-68,29
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,16/04/2020,-84,-17,-7,-66,-67,31
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,17/04/2020,-85,-19,-26,-68,-66,33
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,18/04/2020,-87,-21,-46,-65,-51,22
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,19/04/2020,-88,-31,-36,-66,-47,19
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,20/04/2020,-83,-22,6,-65,-65,28
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,21/04/2020,-83,-17,10,-63,-65,28
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,22/04/2020,-83,-18,0,-63,-65,28
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,23/04/2020,-82,-15,1,-64,-65,28
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,24/04/2020,-83,-15,-8,-64,-65,31
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,25/04/2020,-85,-16,-19,-58,-48,19
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,26/04/2020,-87,-28,-43,-67,-45,18
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,27/04/2020,-81,-19,13,-63,-64,27
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,28/04/2020,-81,-16,9,-62,-64,24
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,29/04/2020,-83,-20,-28,-67,-65,29
