id,locationId,name,status,addressstreet,addresscity,addressstate,addresszip,addresscountryId,addresscountry,addressregionId,addressregion,gpslatitude,gpslongitude,dateOpened,stallCount,counted,elevationMeters,powerKilowatt,solarCanopy,battery,statusDays,urlDiscuss,hours
2215,dangjinsupercharger,"Dangjin, South Korea",OPEN,충남 당진시 송악읍 송악로 63,당진,48,,137,South Korea,102,Asia Pacific,36.909503,126.69407466,2019-12-20,6,true,42,120,false,false,0,false,
2216,seoulgangseosupercharger,"Seoul - Gangseo, South Korea",OPEN,서울특별시 강서구 하늘길 38,서울,,,137,South Korea,102,Asia Pacific,37.563265,126.803108,2019-12-20,4,true,13,120,false,false,0,false,
3844,brestfrsupercharger,"Brest, France",CONSTRUCTION,"Les Portes De Brest,105 Rue Pierre Jakez Helias",Guipavas,,29490,110,France,101,Europe,48.416667,-4.436329,,12,true,62,250,false,false,146,true,
110,buelltonsupercharger,"Buellton, CA",OPEN,555 McMurray Rd,Buellton,CA,93427,100,USA,100,North America,34.61456,-120.188387,2013-07-13,10,true,114,150,false,false,0,true,
111,corningsupercharger,"Corning, CA",OPEN,950 Hwy 99,Corning,CA,96021,100,USA,100,North America,39.926454,-122.198393,2013-10-18,6,true,87,150,false,false,0,true,
109,barstowcasupercharger,"Barstow, CA",OPEN,2812 Lenwood Rd,Barstow,CA,92311,100,USA,100,North America,34.849129,-117.085446,2012-11-19,16,true,725,150,false,true,0,true,
142,tiftonsupercharger,"Tifton, GA",OPEN,1310 U.S. 82,Tifton,GA,31794,100,USA,100,North America,31.448847,-83.53221,2014-07-10,8,true,92,150,false,false,0,true,
118,indiocaliforniasupercharger,"Indio, CA",OPEN,42100 Jackson St,Indio,CA,92203,100,USA,100,North America,33.741484,-116.215019,2014-09-26,8,true,-3,150,false,false,0,true,
123,rosevillesupercharger,"Roseville, CA",OPEN,1151 Galleria Blvd,Roseville,CA,95678,100,USA,100,North America,38.771208,-121.266149,2014-04-29,7,true,66,150,false,false,0,true,
120,oxnardcasupercharger,"Oxnard, CA",OPEN,2751 Park View Ct,Oxnard,CA,93036,100,USA,100,North America,34.238654,-119.177398,2014-09-24,20,true,24,150,false,false,0,true,
3317,DallasTXsupercharger,"Dallas - Park Ln, TX",OPEN,8080 Park Ln,Dallas,TX,75231,100,USA,100,North America,32.867639,-96.767245,2021-11-17,16,true,179,250,false,false,0,true,
112,elcentrosupercharger,"El Centro, CA",OPEN,3451 S Dogwood Rd,El Centro,CA,92243,100,USA,100,North America,32.760837,-115.532486,2014-12-28,12,true,-8,150,false,false,0,true,
1751,rosemontillinoissupercharger,"Rosemont, IL",OPEN,5220 Fashion Outlets Way,Rosemont,IL,60018,100,USA,100,North America,41.975091,-87.866501,2018-11-06,10,true,194,72,false,false,0,true,
134,greenwichsouthsupercharger,"Greenwich - Southbound, CT",OPEN,2000 Merritt Pkwy,Greenwich,CT,06830,100,USA,100,North America,41.040555,-73.673445,2014-02-12,4,false,81,150,false,false,0,true,
117,hawthornerocketsupercharger,"Hawthorne, CA",CLOSED_PERM,1 Rocket Rd,Hawthorne,CA,90250,100,USA,100,North America,33.921068,-118.330054,,12,true,18,250,false,true,268,true,
141,savannahsupercharger,"Savannah, GA",OPEN,400 Airways Ave,Savannah,GA,31408,100,USA,100,North America,32.135507,-81.212767,2014-01-15,8,true,6,125,false,false,0,true,
103,holbrooksupercharger,"Holbrook, AZ",OPEN,2096 Navajo Blvd,Holbrook,AZ,86025,100,USA,100,North America,34.922962,-110.145558,2014-01-15,12,true,1596,250,false,false,0,true,
144,highlandpark,"Highland Park (SC), IL",CLOSED_PERM,1200 Old Skokie Rd,Highland Park,IL,60035,100,USA,100,North America,42.17434,-87.816626,,4,true,195,0,false,false,980,true,
140,macongasupercharger,"Macon, GA",CLOSED_PERM,450 Martin Luther King Jr Blvd,Macon,GA,31201,100,USA,100,North America,32.8334275,-83.6255567,,8,true,98,150,false,false,284,true,
3769,mooresvillencsupercharger,"Mooresville, NC",OPEN,125 Center Square Dr,Mooresville,NC,28117,100,USA,100,North America,35.587472,-80.873,2021-11-19,12,true,260,250,false,false,0,true,
100,buckeyesupercharger,"Buckeye, AZ",OPEN,416 S Watson Rd,Buckeye,AZ,85326,100,USA,100,North America,33.443011,-112.556876,2014-03-20,12,true,338,250,false,false,0,true,
3843,bjorklidensupercharger,"Björkliden, Sweden",OPEN,Björklidenvägen 70,Björkliden,,981 93,109,Sweden,101,Europe,68.407105,18.676377,2021-12-16,3,true,471,250,false,false,0,false,
3842,,"Daytona Beach - Gateway Dr, FL",CONSTRUCTION,2330 Gateway N Dr,Daytona Beach,FL,32117,100,USA,100,North America,29.223265,-81.09972,,12,true,7,250,false,false,102,true,
108,atascaderosupercharger,"Atascadero, CA",OPEN,6950 El Camino Real,Atascadero,CA,93422,100,USA,100,North America,35.48656,-120.66633,2013-07-03,8,true,262,125,false,false,0,true,
102,gilabendsupercharger,"Gila Bend, AZ",OPEN,826 W Pima St,Gila Bend,AZ,85337,100,USA,100,North America,32.943969,-112.733506,2014-05-17,16,true,221,250,false,false,0,true,
113,folsompremiumoutletssupercharger,"Folsom - Iron Point Road, CA",OPEN,13000 Folsom Blvd,Folsom,CA,95630,100,USA,100,North America,38.64258,-121.18806,2012-11-19,4,true,63,120,false,false,0,true,
133,greenwichnorthsupercharger,"Greenwich - Northbound, CT",OPEN,3000 Merritt Pkwy,Greenwich,CT,06830,100,USA,100,North America,41.041538,-73.671661,2014-02-12,4,true,82,150,false,false,0,true,
129,milfordnorthsupercharger,"Milford - Northbound, CT",OPEN,1 CT Turnpike N,Milford,CT,06460,100,USA,100,North America,41.245814,-73.008988,2012-12-16,2,true,19,120,false,false,0,true,
130,milfordsouthsupercharger,"Milford - Southbound, CT",OPEN,1 CT Turnpike S,Milford,CT,06460,100,USA,100,North America,41.246232,-73.010529,2012-12-16,2,false,19,125,false,false,0,true,
