year,gross_income_€,single_males,single_males_total_gross_income_€m,single_females,single_females_total_gross_income_€m,married_couples_both_earning,married_couples_both_earning_total_gross_income_€m,married_couples_one_earning,married_couples_one_earning_total_gross_income_€m,widowers,widowers_total_gross_income_€m,widows,widows_total_gross_income_€m,all_taxpayers,all_taxpayers_total_gross_income_€m
2021,"0 - 10,000","188,196",897.27,"181,323",854.54,"78,161",445.82,"41,937",201.28,"2,093",10.47,"4,169",21.28,"495,879","2,430.66"
2021,"10,000 - 12,000","46,989",521.67,"47,387",523.94,"57,931",641.61,"13,235",146.55,"1,317",14.57,"3,152",34.92,"170,011","1,883.26"
2021,"12,000 - 15,000","87,003","1,176.59","102,251","1,387.02","116,814","1,562.97","28,983",390.08,"6,492",89.77,"19,853",276.55,"361,396","4,882.98"
2021,"15,000 - 17,000","37,437",599.26,"41,159",658.38,"40,764",651.92,"10,486",167.82,"2,527",40.32,"6,767",108.02,"139,140","2,225.73"
2021,"17,000 - 20,000","62,419","1,143.48","60,750","1,117.32","63,740","1,173.10","18,248",336.1,"2,869",52.92,"7,844",144.76,"215,870","3,967.68"
2021,"20,000 - 25,000","90,621","2,040.93","91,259","2,053.58","97,636","2,201.11","30,934",703.45,"3,870",86.86,"11,394",256,"325,714","7,341.93"
2021,"25,000 - 27,000","36,798",956.43,"35,601",925.76,"42,973","1,117.95","13,964",362.53,"1,357",35.26,"3,857",100.28,"134,550","3,498.22"
2021,"27,000 - 30,000","52,336","1,491.01","45,584","1,297.10","60,544","1,724.66","18,359",522.69,"2,053",58.42,"5,652",160.46,"184,528","5,254.35"
2021,"30,000 - 35,000","78,586","2,547.86","59,245","1,919.30","96,324","3,129.06","28,470",924.24,"2,791",90.57,"6,854",221.89,"272,270","8,832.92"
2021,"35,000 - 40,000","64,738","2,420.19","52,116","1,952.68","92,067","3,450.18","25,797",965.62,"2,422",90.59,"4,906",183.27,"242,046","9,062.52"
2021,"40,000 - 50,000","82,594","3,673.65","72,512","3,227.50","140,617","6,283.56","38,896","1,737.04","3,889",174.47,"6,805",303.54,"345,313","15,399.76"
2021,"50,000 - 60,000","46,136","2,517.64","42,142","2,299.18","95,122","5,207.88","26,182","1,433.10","2,541",138.65,"4,115",223.95,"216,238","11,820.39"
2021,"60,000 - 70,000","29,015","1,875.71","23,238","1,499.60","64,501","4,169.87","18,384","1,189.23","1,547",99.99,"2,251",145.57,"138,936","8,979.98"
2021,"70,000 - 75,000","10,239",741.44,"7,480",541.5,"22,981","1,664.41","7,042",510.05,487,35.3,731,52.86,"48,960","3,545.56"
2021,"75,000 - 80,000","8,342",645.7,"5,912",457.55,"19,504","1,510.39","6,412",496.67,371,28.73,564,43.64,"41,105","3,182.68"
2021,"80,000 - 90,000","11,566",978.96,"8,013",678.18,"28,009","2,371.23","9,556",810.19,584,49.41,794,67.12,"58,522","4,955.09"
2021,"90,000 - 100,000","7,394",700.5,"4,903",464.33,"18,911","1,790.84","6,799",644.38,388,36.81,507,48.06,"38,902","3,684.93"
2021,"100,000 - 150,000","14,876","1,770.36","9,262","1,100.88","39,820","4,754.42","16,870","2,029.08",778,92.67,867,103.17,"82,473","9,850.58"
2021,"150,000 - 200,000","4,089",697.72,"2,542",434.9,"12,445","2,129.51","6,207","1,066.33",266,45.16,258,44.11,"25,807","4,417.74"
2021,"200,000 - 275,000","2,115",486.58,"1,328",305.41,"7,421","1,717.14","4,258",989.57,155,35.92,138,32.14,"15,415","3,566.76"
2021,"Over 275,000","1,968","1,043.76","1,058",591.74,"8,204","4,182.88","5,961","3,844.10",171,104.76,136,74.17,"17,498","9,841.42"
2020,"0 - 10,000","163,302",735.01,"146,700",650.55,"78,225",419.17,"46,054",211.13,"1,589",7.91,"4,179",21.34,"440,049","2,045.10"
2020,"10,000 - 12,000","47,605",532.13,"50,622",567.11,"65,936",736.6,"16,851",188.18,"1,274",14.28,"3,442",38.52,"185,730","2,076.82"
2020,"12,000 - 15,000","76,459","1,032.51","89,414","1,211.42","110,127","1,475.72","30,445",410.04,"6,118",85.03,"20,494",286.56,"333,057","4,501.28"
2020,"15,000 - 17,000","39,537",632.25,"44,679",714.51,"46,177",738.28,"12,125",193.81,"2,598",41.48,"7,430",118.5,"152,546","2,438.85"
2020,"17,000 - 20,000","59,632","1,104.29","63,304","1,170.71","67,589","1,251.10","19,641",364.22,"2,985",55.03,"8,418",155.22,"221,569","4,100.57"
2020,"20,000 - 25,000","100,035","2,247.15","97,066","2,180.38","110,901","2,496.32","32,775",737.83,"3,896",87.15,"12,053",270.68,"356,726","8,019.52"
2020,"25,000 - 27,000","38,165",991.45,"34,296",891.15,"46,169","1,199.25","18,596",481.39,"1,334",34.65,"4,363",113.15,"142,923","3,711.04"
2020,"27,000 - 30,000","52,190","1,486.60","43,216","1,229.76","62,838","1,790.71","20,867",594.38,"1,788",50.98,"5,466",155.48,"186,365","5,307.90"
2020,"30,000 - 35,000","74,790","2,422.33","56,295","1,823.01","100,175","3,251.98","31,472","1,020.62","2,752",89.16,"7,059",228.67,"272,543","8,835.78"
2020,"35,000 - 40,000","58,682","2,192.08","49,870","1,866.34","92,409","3,458.89","27,909","1,044.31","2,271",84.83,"4,954",185.07,"236,095","8,831.53"
2020,"40,000 - 50,000","74,138","3,294.80","67,600","3,007.55","136,643","6,101.04","41,763","1,865.56","3,802",170.01,"6,700",298.84,"330,646","14,737.79"
2020,"50,000 - 60,000","40,425","2,206.53","38,972","2,125.71","92,080","5,040.09","27,780","1,519.28","2,360",128.79,"3,955",214.95,"205,572","11,235.35"
2020,"60,000 - 70,000","25,734","1,663.90","21,528","1,388.22","61,628","3,982.56","19,184","1,241.25","1,412",91.27,"2,243",145.12,"131,729","8,512.31"
2020,"70,000 - 75,000","9,260",670.56,"6,629",479.84,"21,787","1,577.74","7,332",531.09,459,33.23,712,51.52,"46,179","3,343.97"
2020,"75,000 - 80,000","7,070",547.09,"5,176",400.52,"17,940","1,388.80","6,128",474.3,342,26.45,529,40.93,"37,185","2,878.09"
2020,"80,000 - 90,000","10,088",854.11,"6,991",591.21,"25,278","2,140.00","9,474",802.48,516,43.73,743,62.86,"53,090","4,494.39"
2020,"90,000 - 100,000","6,400",605.74,"4,271",404.33,"16,925","1,602.95","6,599",625.38,348,32.98,417,39.47,"34,960","3,310.85"
2020,"100,000 - 150,000","12,597","1,495.71","7,743",915.66,"35,400","4,224.25","15,996","1,919.28",707,83.77,736,87.06,"73,179","8,725.72"
